group	aliases	type	default	status	target	description
base options	help,?,h	flag		stable		Show help.
base options	checkInstall	flag		stable		Check that core MATAFILER4 programs/environments are installed.
base options	map	string	""""""	stable	$MFconfig{mapFile}	Mapping file describing samples and input/output paths.
base options	config	string	""""""	stable	$MFconfig{configFile}	Alternative configuration file.
base options	inspectState	integer	0	stable	$MFconfig{inspectState}	Emit a read-only JSON snapshot of workflow artifacts and markers.
base options	planState	integer	0	stable	$MFconfig{planState}	Emit a read-only dependency-ordered repair/submission plan.
base options	stateReport	string	""""""	stable	$MFconfig{stateReport}	Write the inspection JSON to this explicit path.
base options	planReport	string	""""""	stable	$MFconfig{planReport}	Write the repair/submission plan JSON to this explicit path.
flow related	redoFails	integer	0	stable	$MFconfig{redoFails}	if any step of requested analysis failed, just redo everything (extraction etc)
flow related	redoContigStats	integer	0	stable	$MFconfig{redoCS}	runContigStats (coverage per gene, kmers, GC content) will be deleted & started again
flow related	submSystem	string	""""""	stable	$MFconfig{submSytem}	qsub,SGE,bsub,LSF.. by default will try to autodetect
flow related	submit	integer	1	stable	$doSubmit	submit any jobs at all? (0= no submission, just for trying if everything is correctly set up)
flow related	from	integer	0	stable	$FROM1	start at which samples from map file?
flow related	to	integer	999999999999	stable	$TO1	stop at which samples from map file?
flow related	loopTillComplete	string	"""0"""	advanced	$loop2completion	loop over assigned samples with a rolling completed frontier; run one immediate final full verification, then wait for all invocation jobs before any further full pass
flow related	loopTillCompleteActiveJobs	integer	3	advanced	$MFconfig{loopTillCompleteActiveJobs}	start the next loop pass once no more than this many submitted jobs are actually running
flow related	excludeNodes	string	""""""	stable	$MFconfig{excludeNodes}	exclude certain nodes?
flow related	maxConcurrentJobs	integer	0	stable	$MFconfig{checkMaxNumJobs}	maximum running plus pending user jobs, enforced before each Slurm submission
flow related	killDepNever	integer	0	stable	$MFconfig{killDepNever}	"kill jobs in ""Dependency never finished"" state?"
flow related	requireInput	integer	0	stable	$MFconfig{abortOnEmptyInput}	in case input reads are no longer present, 0 will continue pipeline, 1 will abort
flow related	ignoreSmpls	string	""""""	stable	$MFconfig{ignoreSmpl}	skip a certain sample (sample id)
flow related	rmSmplLocks	integer	0	stable	$MFconfig{rmSmplLocks}	remove existing sample locks (useful if jobs have crashed, leaving abondened sample locks)
flow related	silent	flag	0	stable	$MFconfig{silent}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
flow related	maxUnzpJobs	integer	20	stable	$MFconfig{maxUnzpJobs}	how many unzip jobs to run in parallel (not to overload HPC IO). Default:20
flow related	skipSmallSmplsMB	integer	1	stable	$MFconfig{skipSmallSmplsMB}	skip samples with a combined input smaller than this in MB (raw file size, independent of compressed or raw)
flow related	forceWriteStats	integer	0	stable	$MFopt{writeStats}	force (re)writing of the metagStats report and text file
file strucuture	rm_tmpdir_reads	integer	1	stable	$MFconfig{remove_reads_tmpDir}	Default 1, remove tmpdir with reads
file strucuture	rm_tmpInput	integer	1	stable	$MFconfig{removeInputAgain}	remove raw, human / adaptor filtered reads, if sdm clean created? (and not needed any longer)
file strucuture	reduceScratchUse	integer	1	internal/advanced	$MFconfig{rmScratchTmp}	should always be 1, unless debugging..
file strucuture	globalTmpDir	string	""""""	stable	$sharedTmpDirP	absolute path to global shared tmp dir (like a scratch dir)
file strucuture	nodeTmpDir	string	""""""	stable	$nodeTmpDirBase	absolute path to tmp dir on local HDD of each executing node
file strucuture	nodeHDDspace	string	30	stable	$MFconfig{nodeHDDspace}	HDD tmp space to be requested for each node (in Gb). Some systems don't support this
file strucuture	legacyFolders	integer	0	stable	$MFconfig{oldStylFolders}	legacy option, controls if output folders will use the read dir as name (1) or the name in the mapping file (0). Default=0
preprocessing (cleaning reads etc)	usePorechop	integer	0	stable	$MFopt{usePorechop}	adapter rm for Nanopore.. should actually be automatically with newer sdm (not implemented)
preprocessing (cleaning reads etc)	inputFQregex1	string	'.*1\.f[^\.]*q\.gz$'	stable	$MFconfig{rawFileSrchStr1}	regex for detecting read pair 1 in input fastq files
preprocessing (cleaning reads etc)	inputFQregex2	string	'.*2\.f[^\.]*q\.gz$'	stable	$MFconfig{rawFileSrchStr2}	regex for detecting read pair 2 in input fastq files
preprocessing (cleaning reads etc)	inputFQregexSingle	string	""""""	stable	$MFconfig{rawFileSrchStrSingl}	regex for detecting single end reads in input fastq files
preprocessing (cleaning reads etc)	inputFQregexTrustSingle	integer	0	stable	$MFconfig{prefSinglFQgreps}	if grep of files (rawSrchString) has multi assignments, which grep to trust more?
preprocessing (cleaning reads etc)	inputBAMregex	string	""""""	stable	$MFconfig{rawFileBamSrchSing}	bams that will be converted to fastq
preprocessing (cleaning reads etc)	splitFastaInput	integer	0	stable	$MFconfig{splitFastaInput}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	mergeReads	integer	0	stable	$MFopt{doReadMerge}	merge read pair 1+2 before assembly etc? (usually doesn't help assembly, but useful for mapping to ref database in some rare instances)
preprocessing (cleaning reads etc)	ProbRdFilter	integer	1	stable	$MFopt{sdmProbabilisticFilter}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	pairedReadInput	integer	-1	stable	$MFconfig{readsRpairs}	determines if read pairs are expected in each in dir
preprocessing (cleaning reads etc)	inputReadLengthSuppl	integer	5000	stable	$MFconfig{defaultReadLengthX}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	filterHostRds,filterHumanRds	integer	0	stable	$MFopt{humanFilter}	0: no, 1:kraken2, 2: kraken1, 3:hostile
preprocessing (cleaning reads etc)	filterHostKrak2DB	string	""""""	stable	$MFopt{filterHostDB1}	customize host org to filter (e.g. human, chicken ..)
preprocessing (cleaning reads etc)	filterHostKr2Conf	string	0.01	stable	$MFopt{krakHostConf}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	filterHostKr2Quick	string		stable	$MFopt{filterHostKr2QuickMode}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	hostileIndex	string	"""human-t2t-hla"""	stable	$MFopt{hostileIndex}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	onlyFilterZip	integer	0	stable	$MFconfig{unpackZip}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	mocatFiltered	integer	0	stable	$MFconfig{importMocat}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
preprocessing (cleaning reads etc)	logQualvsLen	integer	0	stable	$MFopt{SDMlogQualvsLen}	sdm log file.. can be quite large; logs qual of read vs read length
sdm related	inputReadLength	integer	150	stable	$MFconfig{defaultReadLength}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
sdm related	gzipSDMout	integer	1	stable	$MFopt{gzipSDMOut}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
sdm related	XfirstReads	integer	-1	stable	$MFconfig{XfirstReads}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
sdm related	minReadLength	integer	0	stable	$MFopt{tmpSdmminSL}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
sdm related	maxReadLength	integer	0	stable	$MFopt{tmpSdmmaxSL}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
sdm related	filterAdapters	integer	1	stable	$MFopt{trimAdapters}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
sdm related	customSDMopt	string	""""""	stable	$MFopt{sdmOpt}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
sdm related	sdmMem	string	"""15G"""	stable	$MFopt{sdmMem}	total mem for sdm job in Gb, default 15
assembly related	spadesCores,assemblCores	integer	8	stable	$MFopt{AssemblyCores}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
assembly related	spadesMemory,assemblMemory	integer	-1	stable	$MFopt{AssemblyMemory}	in GB
assembly related	spadesKmers,assemblyKmers	string	"""27,43,67,87,101,127"""	stable	$MFopt{AssemblyKmers}	comma delimited list
assembly related	reAssembleMG	integer	0	stable	$MFopt{redoAssembly}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
assembly related	asssemblyHddSpace	integer	"""-1"""	stable	$HDDspace{assembler}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
assembly related	assembleMG	integer	0	stable	$MFopt{DoAssembly}	1=Spades, 2=MegaHIT, 3= flye, 4=metaMDBG, 5=hybrid ill-PB (megahit, metaMDBG)
assembly related	assemblyLongTime	integer	0	stable	$MFopt{SpadesLongtime}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
assembly related	assemblyScaffMinSize	integer	500	stable	$MFopt{scaffoldMinSize}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
binning	Binner,MetaBat2,binSpeciesMG	integer	0	stable	$MFopt{DoMetaBat2}	0=no, 1=metaBat2, 2=SemiBin, 3: MetaDecoder, 4: GenomeFace, 5: SCGBinner
binning	BinnerCores	integer	9	stable	$MFopt{BinnerCores}	cores used for Binning process (and checkM)
binning	BinnerMem	integer	0	stable	$MFopt{BinnerMem}	define binning memory, Gb, 0=auto
binning	checkM2	integer	1	stable	$MFopt{useCheckM2}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
binning	checkM1	integer	0	stable	$MFopt{useCheckM1}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
binning	BinnerScratchTmp	integer	0	internal/advanced	$MFopt{useBinnerScratch}	very specific (undocumented) use of scratch instead of nodetmp dir
binning	redoEmptyBins	integer	0	internal/advanced	$MFopt{BinnerRedoEmpty}	debug option; redo bins that are empty (no bin detected). Note: this can sometimes happen for metagenomes
binning	redoBinning	integer	0	stable	$MFopt{BinnerRedoAll}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
binning	SB_env	string	""""""	stable	$MFopt{SB_env}	"semiBin environment; if given, will avoid re-training de novo binning model. Default: """" (autotrain). should be #human_gut/dog_gut/ocean/soil/cat_gut/human_oral/mouse_gut/pig_gut/built_environment/wastewater/chicken_caecum/global"
gene prediction on assembly	predictEukGenes	integer	0	stable	$MFopt{DoEukGenePred}	severely limits total predicted gene amount (~25% of total genes)
gene prediction on assembly	kmerPerGene	integer	0	stable	$MFopt{kmerPerGene}	calculate kmer frequencies for each gene instead of per scaffold
gene prediction on assembly	genePredGZenforce	integer	1	stable	$MFopt{genePredGZenforce}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
gene prediction on assembly	rewriteGenePred	integer	0	stable	$MFopt{rewriteGenePred}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
mapping	mapper	integer	-1	stable	$MFopt{MapperProg}	#1=bowtie2, 2=bwa, 3=minimap2, 4=kma, 5=strobealign -1=auto (bowtie2 short, minimap2 long reads), -2=auto(strobealign short, minimap2 long)
mapping	mapUnmapped	integer	0	stable	$MFopt{useUnmapped}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
mapping	mappingCoverage	integer	1	stable	$MFopt{mapModeCovDo}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
mapping	mappingMem	integer	-1	stable	$MFopt{MapperMemory}	total mem for mini2/kma/bwa/bwt2 in GB
mapping	mapSortMem	integer	-1	stable	$MFopt{mapSortMemGb}	total mem for samtools sort in GB
mapping	rmDuplicates	integer	1	stable	$MFopt{MapperRmDup}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
mapping	mappingCores	integer	8	stable	$MFopt{MapperCores}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
mapping	mapperFilterIll	string	"""0.05 0.75 20 3"""	stable	$MFopt{bamfilterIll}	"Maximum NM edit rate, minimum query coverage, minimum mapping quality, and minimum clipping at both ends (0 disables clipping filter)."
mapping	mapperFilterPB	string	"""0.05 0.5 30 0"""	stable	$MFopt{bamfilterPB}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
mapping	mapperFilterONT	string	"""0.15 0.5 10 0"""	stable	$MFopt{bamfilterONT}	Accepted by MATAF4.pl; inspect source or help output for detailed behaviour.
