script	version	section	aliases	type	variable	default	status	description
MATAF4.pl	4.38	Base options	-help,-?,-h	flag			stable	Show help.
MATAF4.pl	4.38	Base options	-checkInstall	flag			stable	Check that core MATAFILER4 programs/environments are installed.
MATAF4.pl	4.38	Base options	-map	string	MFconfig		stable	Mapping file describing samples and input/output paths.
MATAF4.pl	4.38	Base options	-config	string	MFconfig		stable	Alternative configuration file.
MATAF4.pl	4.38	Base options	-inspectState	integer	MFconfig	0	stable	Emit a read-only JSON snapshot of workflow artifacts and markers.
MATAF4.pl	4.38	Base options	-planState	integer	MFconfig	0	stable	Emit a read-only dependency-ordered repair/submission plan.
MATAF4.pl	4.38	Base options	-stateReport	string	MFconfig		stable	Write the inspection JSON to this explicit path.
MATAF4.pl	4.38	Base options	-planReport	string	MFconfig		stable	Write the repair/submission plan JSON to this explicit path.
MATAF4.pl	4.38	Flow related	-redoFails	integer	MFconfig		stable	if any step of requested analysis failed, just redo everything (extraction etc)
MATAF4.pl	4.38	Flow related	-redoContigStats	integer	MFconfig		stable	runContigStats (coverage per gene, kmers, GC content) will be deleted & started again
MATAF4.pl	4.38	Flow related	-submSystem	string	MFconfig		stable	qsub,SGE,bsub,LSF.. by default will try to autodetect
MATAF4.pl	4.38	Flow related	-submit	integer	doSubmit	1	stable	submit any jobs at all? (0= no submission, just for trying if everything is correctly set up)
MATAF4.pl	4.38	Flow related	-from	integer	FROM1	0	stable	start at which samples from map file?
MATAF4.pl	4.38	Flow related	-to	integer	TO1	999999999999	stable	stop at which samples from map file?
MATAF4.pl	4.38	Flow related	-loopTillComplete	string	loop2completion	0	advanced/internal	loop over assigned samples with a rolling completed frontier; run one immediate final full verification, then wait for all invocation jobs before any further full pass
MATAF4.pl	4.38	Flow related	-schedulerPollSeconds	integer	MFconfig	20	advanced	seconds between loopTillComplete scheduler queries while waiting
MATAF4.pl	4.38	Flow related	-schedulerCapacityCheckJobs	integer	MFconfig	10	advanced	refresh exact running plus pending Slurm count after this many accepted submissions
MATAF4.pl	4.38	Flow related	-excludeNodes	string	MFconfig		stable	exclude certain nodes?
MATAF4.pl	4.38	Flow related	-maxConcurrentJobs	integer	MFconfig		stable	maximum running plus pending user jobs, enforced with conservative batched Slurm accounting
MATAF4.pl	4.38	Flow related	-killDepNever	integer	MFconfig		stable	"kill jobs in ""Dependency never finished"" state?"
MATAF4.pl	4.38	Flow related	-requireInput	integer	MFconfig		stable	in case input reads are no longer present, 0 will continue pipeline, 1 will abort
MATAF4.pl	4.38	Flow related	-ignoreSmpls	string	MFconfig		stable	skip a certain sample (sample id)
MATAF4.pl	4.38	Flow related	-rmSmplLocks	integer	MFconfig		stable	remove existing sample locks (useful if jobs have crashed, leaving abondened sample locks)
MATAF4.pl	4.38	Flow related	-silent	flag	MFconfig		stable	Suppress routine progress messages.
MATAF4.pl	4.38	Flow related	-maxUnzpJobs	integer	MFconfig		stable	how many unzip jobs to run in parallel (not to overload HPC IO). Default:20
MATAF4.pl	4.38	Flow related	-skipSmallSmplsMB	integer	MFconfig		stable	skip samples with a combined input smaller than this in MB (raw file size, independent of compressed or raw)
MATAF4.pl	4.38	Flow related	-forceWriteStats	integer	MFopt		stable	force (re)writing of the metagStats report and text file
MATAF4.pl	4.38	File strucuture	-rm_tmpdir_reads	integer	MFconfig		stable	Default 1, remove tmpdir with reads
MATAF4.pl	4.38	File strucuture	-rm_tmpInput	integer	MFconfig		stable	remove raw, human / adaptor filtered reads, if sdm clean created? (and not needed any longer)
MATAF4.pl	4.38	File strucuture	-reduceScratchUse	integer	MFconfig		advanced/internal	should always be 1, unless debugging..
MATAF4.pl	4.38	File strucuture	-globalTmpDir	string	sharedTmpDirP		stable	absolute path to global shared tmp dir (like a scratch dir)
MATAF4.pl	4.38	File strucuture	-nodeTmpDir	string	nodeTmpDirBase		stable	absolute path to tmp dir on local HDD of each executing node
MATAF4.pl	4.38	File strucuture	-nodeHDDspace	string	MFconfig		stable	HDD tmp space to be requested for each node (in Gb). Some systems don't support this
MATAF4.pl	4.38	File strucuture	-legacyFolders	integer	MFconfig		deprecated/legacy	legacy option, controls if output folders will use the read dir as name (1) or the name in the mapping file (0). Default=0
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-usePorechop	integer	MFopt		experimental/unsupported	adapter rm for Nanopore.. should actually be automatically with newer sdm (not implemented)
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-inputFQregex1	string	MFconfig		stable	regex for detecting read pair 1 in input fastq files
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-inputFQregex2	string	MFconfig		stable	regex for detecting read pair 2 in input fastq files
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-inputFQregexSingle	string	MFconfig		stable	regex for detecting single end reads in input fastq files
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-inputFQregexTrustSingle	integer	MFconfig		stable	if grep of files (rawSrchString) has multi assignments, which grep to trust more?
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-inputBAMregex	string	MFconfig		stable	bams that will be converted to fastq
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-splitFastaInput	integer	MFconfig		stable	Enable FASTA input splitting during read staging.
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-mergeReads	integer	MFopt		stable	merge read pair 1+2 before assembly etc? (usually doesn't help assembly, but useful for mapping to ref database in some rare instances)
MATAF4.pl	4.38	Preprocessing (cleaning reads etc)	-ProbRdFilter	integer	MFopt		stable	Enable probabilistic SDM read filtering.
